Informe as versões (deixe em branco para buscar todas):
 - Versão do Bottlerocket (ex: 1.58.0). Deixe em branco para todas.
 - Versão do Kubernetes (ex: 1.35). Deixe em branco para todas.
 - Regiões (separadas por vírgula). Deixe em branco para todas as regiões.
Versão do Bottlerocket: 1.58.0
Versão do Kubernetes: 
Regiões (comma-separated): 
Buscando AMIs com o padrao: bottlerocket-aws-k8s-*-*-v1.58.0-*
==================================================
Consultando regiao: ap-south-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: eu-north-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: eu-west-3...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: eu-west-2...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: eu-west-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: ap-northeast-3...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: ap-northeast-2...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: ap-northeast-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: ca-central-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: sa-east-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: ap-southeast-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: ap-southeast-2...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: eu-central-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: us-east-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: us-east-2...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: us-west-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: us-west-2...
  -> 48 AMI(s) encontrada(s)

Resultado final:
K8S_Version  Region          AMI_ID                 Arch    Name                                                            CreationDate
1.30         ap-northeast-3  ami-0fb9a628eae0aac9f  arm64   bottlerocket-aws-k8s-1.30-aarch64-v1.58.0-c5c37032              2026-04-01T22:59:12.000Z
1.30         ap-northeast-2  ami-04e3a8d97ab25105f  arm64   bottlerocket-aws-k8s-1.30-fips-aarch64-v1.58.0-c5c37032         2026-04-01T22:59:22.000Z
1.30         ap-northeast-2  ami-05921a5f9369ccc41  arm64   bottlerocket-aws-k8s-1.30-nvidia-fips-aarch64-v1.58.0-c5c37032  2026-04-01T22:59:44.000Z
1.30         ap-northeast-2  ami-0647411628dc88f79  arm64   bottlerocket-aws-k8s-1.30-nvidia-aarch64-v1.58.0-c5c37032       2026-04-01T22:57:32.000Z
1.30         ap-northeast-2  ami-0666f5c01958c3fb7  arm64   bottlerocket-aws-k8s-1.30-aarch64-v1.58.0-c5c37032              2026-04-01T22:59:12.000Z
1.30         ap-northeast-2  ami-0a86fc718fd312871  x86_64  bottlerocket-aws-k8s-1.30-x86_64-v1.58.0-c5c37032               2026-04-01T22:56:38.000Z
1.30         ap-northeast-2  ami-0e2ae24425c308d98  x86_64  bottlerocket-aws-k8s-1.30-nvidia-fips-x86_64-v1.58.0-c5c37032   2026-04-01T22:59:49.000Z
1.30         ap-northeast-2  ami-0f2b33f7cecd0ac69  x86_64  bottlerocket-aws-k8s-1.30-fips-x86_64-v1.58.0-c5c37032          2026-04-01T22:59:07.000Z
1.30         ap-northeast-2  ami-0fb6b0574473f3915  x86_64  bottlerocket-aws-k8s-1.30-nvidia-x86_64-v1.58.0-c5c37032        2026-04-01T22:59:48.000Z
1.30         ap-northeast-1  ami-01899101f32b0c870  arm64   bottlerocket-aws-k8s-1.30-aarch64-v1.58.0-c5c37032              2026-04-01T22:59:12.000Z
1.30         ap-northeast-1  ami-06a56ce261bd21b70  x86_64  bottlerocket-aws-k8s-1.30-fips-x86_64-v1.58.0-c5c37032          2026-04-01T22:59:07.000Z
1.30         ap-northeast-1  ami-07521427a22b9e0c2  x86_64  bottlerocket-aws-k8s-1.30-x86_64-v1.58.0-c5c37032               2026-04-01T22:56:38.000Z
1.30         ap-northeast-1  ami-09671f9cdd6a2edf7  arm64   bottlerocket-aws-k8s-1.30-nvidia-fips-aarch64-v1.58.0-c5c37032  2026-04-01T22:59:45.000Z
1.30         ap-northeast-1  ami-097209e205276881f  arm64   bottlerocket-aws-k8s-1.30-nvidia-aarch64-v1.58.0-c5c37032       2026-04-01T22:57:32.000Z
1.30         ap-northeast-1  ami-09344c2e75d02769a  arm64   bottlerocket-aws-k8s-1.30-fips-aarch64-v1.58.0-c5c37032         2026-04-01T22:59:22.000Z
1.30         ap-northeast-1  ami-0aede221c0c63dace  x86_64  bottlerocket-aws-k8s-1.30-nvidia-fips-x86_64-v1.58.0-c5c37032   2026-04-01T22:59:49.000Z
1.30         ap-northeast-1  ami-0b0f9881f7deeb750  x86_64  bottlerocket-aws-k8s-1.30-nvidia-x86_64-v1.58.0-c5c37032        2026-04-01T22:59:48.000Z
1.30         ca-central-1    ami-031e7a6731b4fd511  x86_64  bottlerocket-aws-k8s-1.30-nvidia-fips-x86_64-v1.58.0-c5c37032   2026-04-01T22:59:51.000Z
1.30         ca-central-1    ami-05ec95def9560d2f1  arm64   bottlerocket-aws-k8s-1.30-nvidia-fips-aarch64-v1.58.0-c5c37032  2026-04-01T22:59:47.000Z
1.30         ca-central-1    ami-080bdafb1578a46eb  x86_64  bottlerocket-aws-k8s-1.30-nvidia-x86_64-v1.58.0-c5c37032        2026-04-01T22:59:49.000Z
1.30         ca-central-1    ami-09cd4f64ad4e6e6fa  x86_64  bottlerocket-aws-k8s-1.30-x86_64-v1.58.0-c5c37032               2026-04-01T22:56:39.000Z
1.30         ca-central-1    ami-0c0fcb8aa4276fd26  arm64   bottlerocket-aws-k8s-1.30-fips-aarch64-v1.58.0-c5c37032         2026-04-01T22:59:23.000Z
1.30         ca-central-1    ami-0d2a41c77555964f7  x86_64  bottlerocket-aws-k8s-1.30-fips-x86_64-v1.58.0-c5c37032          2026-04-01T22:59:08.000Z
